Q_ID,Reference_Answer,Most_Likely_Disease,Recommended_Medication,Suggested_Medical_Test
2458,"1. **Most Likely Disease:**

Eye alignment disorder. The patient reports ""eyes seem to be deviating"" and ""eyelids have been moving abnormally,"" which directly aligns with the symptoms listed for eye alignment disorder.

2. **Recommended Medication(s):**

*   Atropine (Uaa)
*   Phenylephrine (Duramax)

3. **Suggested Medical Test(s):**

*   Ophthalmologic and otologic diagnosis and treatment
*   Ophthalmic examination and evaluation (Eye exam)","Eye alignment disorder. The patient reports ""eyes seem to be deviating"" and ""eyelids have been moving abnormally,"" which directly aligns with the symptoms listed for eye alignment disorder.","*   Atropine (Uaa)
*   Phenylephrine (Duramax)","*   Ophthalmologic and otologic diagnosis and treatment
*   Ophthalmic examination and evaluation (Eye exam)"
3746,"1. **Most Likely Disease:**
Mastoiditis. The patient presents with bleeding from the ear, facial pain, and diminished hearing. While cholesteatoma also presents with bleeding from the ear and diminished hearing, mastoiditis is the only condition in the list that includes all three symptoms, including facial pain.

2. **Recommended Medication(s):**
* Ofloxacin
* Triamcinolone Nasal Product
* Cefotaxime
* Linezolid (Zyvox)
* Cefepime

3. **Suggested Medical Test(s):**
* X-ray computed tomography (Scan ct)
* Ophthalmologic and otologic diagnosis and treatment
* CAT scan of head (Head ct)
* Magnetic resonance imaging (Mri)","Mastoiditis. The patient presents with bleeding from the ear, facial pain, and diminished hearing. While cholesteatoma also presents with bleeding from the ear and diminished hearing, mastoiditis is the only condition in the list that includes all three symptoms, including facial pain.","* Ofloxacin
* Triamcinolone Nasal Product
* Cefotaxime
* Linezolid (Zyvox)
* Cefepime","* X-ray computed tomography (Scan ct)
* Ophthalmologic and otologic diagnosis and treatment
* CAT scan of head (Head ct)
* Magnetic resonance imaging (Mri)"
2591,"1. **Most Likely Disease:**

Spondylitis. This is because it is the only condition listed that includes both ""lower body pain"" and ""side pain"" as symptoms. While other conditions list ""lower body pain,"" they don't also include ""side pain,"" making spondylitis the most fitting based on the data provided.

2. **Recommended Medication(s):**

*   Cyclobenzaprine
*   Diazepam (Valium)
*   Carisoprodol (Soma)
*   Orphenadrine (Flexon)
*   Methocarbamol
*   Tizanidine
*   Bupivacaine
*   Metaxalone (Skelaxin)
*   Methadone
*   Nabumetone
*   Chlorzoxazone

3. **Suggested Medical Test(s):**

*   Plain x-ray (X ray)
*   Magnetic resonance imaging (Mri)","Spondylitis. This is because it is the only condition listed that includes both ""lower body pain"" and ""side pain"" as symptoms. While other conditions list ""lower body pain,"" they don't also include ""side pain,"" making spondylitis the most fitting based on the data provided.","*   Cyclobenzaprine
*   Diazepam (Valium)
*   Carisoprodol (Soma)
*   Orphenadrine (Flexon)
*   Methocarbamol
*   Tizanidine
*   Bupivacaine
*   Metaxalone (Skelaxin)
*   Methadone
*   Nabumetone
*   Chlorzoxazone","*   Plain x-ray (X ray)
*   Magnetic resonance imaging (Mri)"
595,"Okay, I will answer based on my medical knowledge since no table is provided.

1.  **Most Likely Disease:** Contact Dermatitis. The symptoms described  skin irritation, redness, and itchiness upon contact with certain substances  are classic indicators of contact dermatitis.

2.  **Recommended Medication(s):**

    *   Topical corticosteroids (e.g., hydrocortisone, triamcinolone)
    *   Emollients
    *   Antihistamines (oral)
    *   Topical calcineurin inhibitors (e.g., tacrolimus, pimecrolimus)

3.  **Suggested Medical Test(s):**

    *   Patch testing
    *   Skin biopsy
    *   Allergy testing (RAST or skin prick test)","Contact Dermatitis. The symptoms described  skin irritation, redness, and itchiness upon contact with certain substances  are classic indicators of contact dermatitis.","*   Topical corticosteroids (e.g., hydrocortisone, triamcinolone)
    *   Emollients
    *   Antihistamines (oral)
    *   Topical calcineurin inhibitors (e.g., tacrolimus, pimecrolimus)","*   Patch testing
    *   Skin biopsy
    *   Allergy testing (RAST or skin prick test)"
77,"1. **Most Likely Disease:** Stroke. The sudden onset of left-sided weakness and numbness strongly suggests a stroke. While Transient Ischemic Attack (TIA) shares some symptoms, the prompt indicates a possible ongoing event rather than a transient one.

2. **Recommended Medication(s):**
* Clopidogrel (Plavix)
* Labetalol
* Alteplase
* Fosphenytoin
* Deferasirox (Exjade)
* Bethanechol
* Nicardipine
* Dalteparin (Fragmin)
* Rimabotulinumtoxinb (Myobloc)

3. **Suggested Medical Test(s):**
* Radiographic imaging procedure
* Hematologic tests (Blood test)
* Complete blood count (Cbc)
* X-ray computed tomography (Scan ct)
* Electrocardiogram
* Glucose measurement (Glucose level)
* Electrolytes panel","Stroke. The sudden onset of left-sided weakness and numbness strongly suggests a stroke. While Transient Ischemic Attack (TIA) shares some symptoms, the prompt indicates a possible ongoing event rather than a transient one.","* Clopidogrel (Plavix)
* Labetalol
* Alteplase
* Fosphenytoin
* Deferasirox (Exjade)
* Bethanechol
* Nicardipine
* Dalteparin (Fragmin)
* Rimabotulinumtoxinb (Myobloc)","* Radiographic imaging procedure
* Hematologic tests (Blood test)
* Complete blood count (Cbc)
* X-ray computed tomography (Scan ct)
* Electrocardiogram
* Glucose measurement (Glucose level)
* Electrolytes panel"
3755,"1.  **Most Likely Disease:**

Ischemia of the bowel. This is based on the presence of both sharp and burning abdominal pain, which aligns strongly with this condition. While other listed conditions include sharp abdominal pain, the presence of *both* sharp *and* burning pain makes ischemia a slightly more probable fit based on the provided data. The elbow cramps are harder to directly connect within the provided options, but abdominal conditions can sometimes cause referred pain or muscle spasms. Also, Cryptorchidism can't be excluded and would need examination as a potential cause of testicular pain.

2.  **Recommended Medication(s):**

*   Metronidazole
*   Fentanyl
*   Zosyn
*   Heparin
*   Meperidine (Demerol)
*   Mesalamine (Asacol)
*   Sucralfate (Carafate)
*   Oxygen
*   Sodium Phosphate
*   Guar Gum
*   Cefoxitin
*   Droperidol

3.  **Suggested Medical Test(s):**

*   Hematologic tests (Blood test)
*   Complete blood count (Cbc)
*   Radiographic imaging procedure
*   Kidney function tests (Kidney function test)
*   Glucose measurement (Glucose level)
*   X-ray computed tomography (Scan ct)
*   Electrolytes panel","Ischemia of the bowel. This is based on the presence of both sharp and burning abdominal pain, which aligns strongly with this condition. While other listed conditions include sharp abdominal pain, the presence of *both* sharp *and* burning pain makes ischemia a slightly more probable fit based on the provided data. The elbow cramps are harder to directly connect within the provided options, but abdominal conditions can sometimes cause referred pain or muscle spasms. Also, Cryptorchidism can't be excluded and would need examination as a potential cause of testicular pain.","*   Metronidazole
*   Fentanyl
*   Zosyn
*   Heparin
*   Meperidine (Demerol)
*   Mesalamine (Asacol)
*   Sucralfate (Carafate)
*   Oxygen
*   Sodium Phosphate
*   Guar Gum
*   Cefoxitin
*   Droperidol","*   Hematologic tests (Blood test)
*   Complete blood count (Cbc)
*   Radiographic imaging procedure
*   Kidney function tests (Kidney function test)
*   Glucose measurement (Glucose level)
*   X-ray computed tomography (Scan ct)
*   Electrolytes panel"
5089,"Here's an analysis based on the provided table:

1. **Most Likely Disease:** Viral warts. The symptom ""Skin growth"" directly matches a symptom associated with Viral warts in the table. While Osteochondrosis can cause a knee lump, the presence of nausea and vulvar sore isn't explained by it.

2. **Recommended Medication(s):** Tretinoin Topical

3. **Suggested Medical Test(s):** Pelvis exam","Viral warts. The symptom ""Skin growth"" directly matches a symptom associated with Viral warts in the table. While Osteochondrosis can cause a knee lump, the presence of nausea and vulvar sore isn't explained by it.",Tretinoin Topical,Pelvis exam
4613,"Based on the provided information and symptom analysis:

            1. **Most Likely Disease:**

            Based on the table, it's difficult to pinpoint one specific disease. However, given the overlap of symptoms, the most likely options from the table are:

*   **Pyelonephritis:** This aligns with nausea, side pain, chills and (potentially) burning abdominal pain related to the urinary tract/kidney area.
*   **Choledocholithiasis:** A closer fit is the inflammation of the gall bladder

            2. **Recommended Medication(s):**

            *   Antibiotics (if infection suspected)
            *   Pain relievers
            *   Antiemetics

            3. **Suggested Medical Test(s):**

            *   Urinalysis
            *   Blood tests
            *   Abdominal ultrasound
            *   CT scan of abdomen and pelvis","Based on the table, it's difficult to pinpoint one specific disease. However, given the overlap of symptoms, the most likely options from the table are:

*   **Pyelonephritis:** This aligns with nausea, side pain, chills and (potentially) burning abdominal pain related to the urinary tract/kidney area.
*   **Choledocholithiasis:** A closer fit is the inflammation of the gall bladder","*   Antibiotics (if infection suspected)
            *   Pain relievers
            *   Antiemetics","*   Urinalysis
            *   Blood tests
            *   Abdominal ultrasound
            *   CT scan of abdomen and pelvis"
820,"1. **Most Likely Disease:**
Diabetic retinopathy. The patient explicitly states they have been diagnosed with diabetic retinopathy.

2. **Recommended Medication(s):**
Insulin
Insulin Glargine (Lantus)
Tropicamide Ophthalmic
Phenylephrine (Duramax)
Insulin, Aspart, Human (Novolog)
Brimonidine Ophthalmic
Prednisolone Ophthalmic
Bevacizumab (Avastin)
Rosiglitazone (Avandia)
Latanoprost
Gatifloxacin (Zymar)
Timolol

3. **Suggested Medical Test(s):**
Other therapeutic procedures on eyelids; conjunctiva; cornea
Ophthalmic examination and evaluation (Eye exam)
Ophthalmologic and otologic diagnosis and treatment
Hemoglobin A1c measurement (Hemoglobin a1c test)
Repair of retinal tear; detachment
Other extraocular muscle and orbit therapeutic procedures
Other intraocular therapeutic procedures",Diabetic retinopathy. The patient explicitly states they have been diagnosed with diabetic retinopathy.,"Insulin
Insulin Glargine (Lantus)
Tropicamide Ophthalmic
Phenylephrine (Duramax)
Insulin, Aspart, Human (Novolog)
Brimonidine Ophthalmic
Prednisolone Ophthalmic
Bevacizumab (Avastin)
Rosiglitazone (Avandia)
Latanoprost
Gatifloxacin (Zymar)
Timolol","Other therapeutic procedures on eyelids; conjunctiva; cornea
Ophthalmic examination and evaluation (Eye exam)
Ophthalmologic and otologic diagnosis and treatment
Hemoglobin A1c measurement (Hemoglobin a1c test)
Repair of retinal tear; detachment
Other extraocular muscle and orbit therapeutic procedures
Other intraocular therapeutic procedures"
601,"Okay, here's the analysis based on the information provided (which is only the patient's statement and that there is no table):

1.  **Most Likely Disease:** Thyroid Cancer. The patient explicitly states they have been diagnosed with thyroid cancer.

2.  **Recommended Medication(s):**

    *   Levothyroxine
    *   Radioactive Iodine (I-131)
    *   Tyrosine Kinase Inhibitors (e.g., Lenvatinib, Sorafenib)

3.  **Suggested Medical Test(s):**

    *   Thyroid Ultrasound
    *   Thyroid Scan (Radioactive Iodine Uptake Scan)
    *   Fine Needle Aspiration Biopsy (if further characterization is needed)
    *   Complete Blood Count (CBC)
    *   Thyroglobulin Level
    *   Anti-Thyroglobulin Antibodies
    *   Neck CT Scan or MRI
    *   PET Scan (if advanced disease is suspected)
    *   Genetic Testing (e.g., BRAF, RET/PTC)",Thyroid Cancer. The patient explicitly states they have been diagnosed with thyroid cancer.,"*   Levothyroxine
    *   Radioactive Iodine (I-131)
    *   Tyrosine Kinase Inhibitors (e.g., Lenvatinib, Sorafenib)","*   Thyroid Ultrasound
    *   Thyroid Scan (Radioactive Iodine Uptake Scan)
    *   Fine Needle Aspiration Biopsy (if further characterization is needed)
    *   Complete Blood Count (CBC)
    *   Thyroglobulin Level
    *   Anti-Thyroglobulin Antibodies
    *   Neck CT Scan or MRI
    *   PET Scan (if advanced disease is suspected)
    *   Genetic Testing (e.g., BRAF, RET/PTC)"
